transaction_id,device_id,device_type,tran_code,mcc,client_id,card_type,pin_inc_count,card_status,sum,oper_type,balance,ip_city,day_of_week,hour_of_day,month,anomaly
1157921,982,4,30,7103,969838140,1,0,0,510.22,8,670814.78,22,2,9,3,True
1595205,1033,4,30,2031,969838140,1,0,0,509.84,8,670304.94,11,3,9,3,True
1656884,96,0,25,4629,969838140,1,0,0,509.86,8,669795.08,1,0,23,3,True
1673909,982,4,30,4629,969838140,1,0,0,510.05,8,669285.03,22,3,2,3,True
1689203,1413,0,10,5840,969838140,1,0,0,510.01,6,669795.04,24,3,9,7,True
2100925,787,0,-1,5426,969838140,1,1,0,509.93,4,669795.04,14,4,17,7,True
2176658,982,4,25,7341,969838140,1,0,0,509.86,8,669285.18,22,0,6,8,True
2319994,378,0,10,2031,969838140,1,0,0,510.01,0,669795.19,25,2,16,8,True
2327304,862,4,451,2085,969838140,1,0,0,509.91,7,669285.28,24,6,18,9,True
2330108,96,0,30,7152,969838140,1,0,0,510.13,8,668775.15,1,6,7,9,True
2754128,982,4,25,7103,969838140,1,0,0,510.14,8,668265.01,22,0,22,9,True
3289172,445,0,10,8007,969838140,1,0,0,510.12,6,668775.13,13,6,14,10,True
3303599,787,0,30,2085,969838140,1,0,0,509.96,8,668265.17,14,4,23,10,True
3736036,535,0,-1,2346,969838140,1,1,0,509.9,4,668265.17,18,2,14,10,True
3783029,96,0,25,5840,969838140,1,0,0,510.03,8,667755.14,1,4,13,10,True
3815661,982,4,451,1115,969838140,1,0,0,510.06,7,667245.08,22,3,8,11,True
3845333,787,0,30,2031,969838140,1,0,0,510.06,8,666735.02,14,0,12,11,True
3982118,862,4,25,3859,969838140,1,0,0,509.92,8,666225.1,24,6,21,11,True
4065585,129,0,20,3859,969838140,1,0,0,510.17,5,665714.93,18,3,1,12,True
4074138,727,0,10,5840,969838140,1,0,0,510.14,0,666225.07,11,2,15,12,True
4463407,862,4,25,5426,969838140,1,0,0,510.17,8,665714.9,24,4,8,1,True
4544552,96,0,451,5426,969838140,1,0,0,510.22,7,665204.68,1,5,23,2,True
4738064,96,0,30,2369,969838140,1,0,0,509.92,8,664694.76,1,5,3,4,True
5114526,96,0,-1,7152,969838140,1,1,0,509.86,1,664694.76,1,4,22,4,True
5197742,982,4,451,2085,969838140,1,0,0,509.74,7,664185.02,22,2,17,4,True
5280509,1033,4,25,7946,969838140,1,0,0,509.84,8,663675.18,11,5,12,5,True
5451638,1033,4,-1,3755,969838140,1,1,0,509.77,1,663675.18,11,0,12,5,True
5530000,982,4,451,8488,969838140,1,0,0,509.73,7,663165.45,22,3,7,5,True
5960306,1033,4,451,3755,969838140,1,0,0,510.01,7,662655.44,11,0,22,6,True
6195724,535,0,-1,2031,969838140,1,1,0,509.91,1,662655.44,18,5,21,6,True
6714746,982,4,25,2346,969838140,1,0,0,510.01,8,662145.43,22,5,8,8,True
6941643,249,0,10,7341,969838140,1,0,0,509.91,6,662655.34,6,0,15,8,True
7264859,96,0,25,2085,969838140,1,0,0,510.12,8,662145.22,1,5,19,8,True
7301086,862,4,30,8007,969838140,1,0,0,510.17,8,661635.05,24,2,18,8,False
7993327,1314,2,20,7352,969838140,1,0,0,510.01,5,661125.04,5,3,5,8,True
8018457,228,0,20,2031,969838140,1,0,0,510.0,5,660615.04,26,4,15,8,True
8170238,647,4,-1,7152,969838140,1,1,0,509.95,4,660615.04,24,3,16,9,True
8243398,535,0,451,5840,969838140,1,0,0,510.04,7,660105.0,18,3,15,11,True
8274839,859,2,20,7152,969838140,1,0,0,509.97,5,659595.03,24,6,22,12,True
8618856,862,4,451,8007,969838140,1,0,0,509.97,7,659085.06,24,1,15,1,True
8683217,1033,4,-1,3859,969838140,1,1,0,509.99,4,659085.06,11,5,6,2,True
8944583,982,4,-1,5426,969838140,1,2,0,510.1,4,659085.06,22,1,10,2,True
9123898,1239,1,10,7352,969838140,1,0,0,510.08,0,659595.14,18,1,3,3,True
9157750,1033,4,30,3853,969838140,1,0,0,510.16,8,659084.98,11,3,5,3,True
9200735,712,0,20,6489,969838140,1,0,0,509.79,5,658575.19,18,6,23,4,True
9294016,1064,0,10,1115,969838140,1,0,0,510.01,6,659085.2,11,2,1,4,True
9318028,254,0,20,2085,969838140,1,0,0,509.96,5,658575.24,6,4,5,5,True
9391790,535,0,451,8007,969838140,1,0,0,509.94,7,658065.3,18,0,0,5,True
9484192,862,4,-1,6489,969838140,1,1,0,509.95,4,658065.3,24,0,8,5,True
